uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
256,90,0,87,90,11.577777777777778,82,43,1,57
257,8,0,8,8,14.625,8,2,1,8
258,85,0,79,85,10.729411764705882,72,29,2,51
259,53,0,52,53,11.566037735849056,51,14,1,39
260,6,0,5,6,10.333333333333334,6,5,1,4
261,226,0,216,226,11.353982300884956,174,52,1,90
262,8,0,8,8,8.375,8,1,1,2
263,4,0,4,4,8.25,4,4,1,4
264,42,5,41,42,11.214285714285714,39,19,2,37
265,42,0,41,42,10.571428571428571,38,28,1,35
266,16,0,16,16,10.9375,16,4,3,16
267,21,0,21,21,10.285714285714286,18,11,1,18
268,54,2,52,54,9.981481481481481,48,34,1,46
269,42,0,39,42,10.476190476190476,39,24,1,37
270,91,0,91,91,10.505494505494505,77,46,1,59
271,63,0,63,63,9.793650793650794,53,23,1,45
272,19,0,19,19,10.631578947368421,18,13,1,16
273,42,0,39,42,12.80952380952381,37,19,1,31
274,686,0,543,686,10.903790087463557,405,104,2,173
275,238,0,234,238,11.77310924369748,186,65,1,112
276,152,0,144,152,11.539473684210526,139,23,1,75
277,35,0,33,35,9.971428571428572,32,1,1,23
278,45,0,44,45,9.777777777777779,42,17,1,36
279,26,0,26,26,10.076923076923077,24,5,1,24
280,107,0,104,107,10.485981308411215,101,66,1,61
281,77,1,75,77,13.35064935064935,71,37,1,61
282,12,0,12,12,9.583333333333334,12,7,1,11
283,111,1,107,111,10.783783783783784,96,32,1,65
284,212,0,206,212,11.471698113207546,147,120,4,119
285,25,0,25,25,14.72,25,7,1,24
286,185,0,175,185,11.356756756756758,169,77,1,95
287,31,0,31,31,10.483870967741936,28,14,2,26
288,37,0,34,37,11.216216216216216,33,13,1,25
289,40,0,40,40,11.4,36,20,1,36
290,46,0,46,46,11.73913043478261,40,25,1,38
291,57,0,56,57,12.789473684210526,54,40,1,50
292,13,0,13,13,8.23076923076923,13,3,1,12
293,196,0,195,196,10.35204081632653,153,99,1,106
294,66,10,65,66,11.303030303030303,59,46,2,51
295,319,1,316,319,10.761755485893417,215,62,1,113
296,6,0,6,6,9.166666666666666,6,0,1,6
297,67,1,66,67,10.059701492537313,59,34,1,47
298,188,0,186,188,11.388297872340425,170,80,1,108
299,35,0,35,35,11.82857142857143,31,19,1,32
300,19,0,18,19,12.052631578947368,19,7,1,14
301,125,1,124,125,10.4,100,12,1,74
302,45,0,45,45,10.066666666666666,45,22,1,39
303,6,0,6,6,9.333333333333334,6,3,1,6
304,12,0,12,12,10.083333333333334,12,4,1,10
305,107,0,100,107,11.906542056074766,96,12,1,79
306,19,0,18,19,12.263157894736842,17,5,1,15
307,24,0,24,24,11.208333333333334,23,14,1,22
308,9,0,9,9,9.0,9,6,1,8
309,90,0,85,90,11.544444444444444,71,14,2,58
310,3,0,3,3,8.666666666666666,3,2,1,3
311,113,0,112,113,10.91150442477876,93,38,1,79
312,28,0,28,28,12.5,26,14,1,23
313,76,0,75,76,11.210526315789474,72,12,1,65
314,65,0,65,65,12.553846153846154,53,34,1,54
315,9,0,9,9,10.222222222222221,8,5,1,6
316,22,0,22,22,10.272727272727273,22,11,1,22
317,63,0,62,63,10.555555555555555,54,19,1,45
318,42,0,39,42,10.666666666666666,40,6,1,33
319,69,0,68,69,11.507246376811594,66,20,1,63
320,35,1,35,35,13.914285714285715,29,21,1,32
321,28,0,28,28,12.607142857142858,27,23,1,25
322,78,0,78,78,12.025641025641026,62,48,2,64
323,127,0,125,127,11.440944881889763,113,50,1,76
324,44,1,44,44,10.795454545454545,39,21,1,41
325,21,0,21,21,14.047619047619047,19,14,1,20
326,92,0,86,92,10.608695652173912,85,48,1,58
327,21,0,21,21,8.285714285714286,21,3,1,20
328,48,0,47,48,12.645833333333334,45,21,1,39
329,1,0,1,1,10.0,1,0,1,1
330,17,0,17,17,12.941176470588236,14,10,2,16
331,175,0,164,175,11.348571428571429,145,41,1,96
332,107,0,100,107,10.607476635514018,90,45,1,58
333,103,0,88,103,10.660194174757281,91,46,1,54
334,84,0,80,84,12.75,74,33,1,65
335,19,0,19,19,15.105263157894736,19,13,1,19
336,35,1,35,35,10.342857142857143,29,23,1,31
337,192,0,182,192,10.692708333333334,154,18,1,104
338,26,0,26,26,11.576923076923077,26,11,1,23
339,168,0,158,168,11.285714285714286,156,43,1,86
340,39,0,35,39,10.102564102564102,37,34,1,32
341,74,1,72,74,12.0,66,40,1,63
342,81,1,79,81,11.555555555555555,68,17,1,34
343,114,0,113,114,10.824561403508772,100,30,1,74
344,39,1,38,39,11.871794871794872,37,19,1,32
345,108,3,104,108,9.601851851851851,100,67,1,51
346,31,0,31,31,12.161290322580646,30,11,1,28
347,224,0,223,224,11.410714285714286,182,50,4,104
348,52,0,49,52,11.576923076923077,41,21,1,33
349,30,0,30,30,11.966666666666667,29,12,2,27
350,175,0,172,175,10.971428571428572,159,71,1,107
351,43,0,43,43,10.44186046511628,39,15,1,38
352,15,0,15,15,12.466666666666667,15,6,3,14
353,3,0,3,3,8.0,3,3,1,3
354,458,0,439,458,10.991266375545852,310,223,1,170
355,3,0,3,3,6.666666666666667,3,3,1,3
356,26,0,26,26,16.73076923076923,26,14,1,25
357,4,0,4,4,9.5,4,3,1,4
358,55,0,53,55,9.672727272727272,50,46,1,40
359,30,0,30,30,10.1,28,10,1,27
360,59,3,58,59,10.966101694915254,58,17,1,46
361,27,0,27,27,11.296296296296296,26,16,1,24
362,24,0,22,24,12.041666666666666,22,5,1,20
363,59,2,57,59,9.983050847457626,53,31,1,43
364,322,0,310,322,10.819875776397515,233,103,1,135
365,163,0,160,163,10.220858895705522,122,52,4,107
366,50,0,49,50,10.48,48,19,7,36
367,35,0,34,35,12.2,32,25,1,32
368,8,0,8,8,9.25,8,4,1,8
369,56,0,54,56,10.071428571428571,50,27,1,40
370,182,0,176,182,15.032967032967033,123,59,2,97
372,90,0,90,90,10.077777777777778,75,29,2,67
373,224,0,217,224,11.245535714285714,179,16,1,124
374,10,0,10,10,12.2,10,5,1,9
375,28,1,28,28,12.821428571428571,23,17,1,23
376,21,0,21,21,12.0,20,10,1,14
377,27,0,27,27,13.777777777777779,24,15,1,22
378,5,0,5,5,9.6,5,2,1,2
379,113,16,106,113,9.79646017699115,101,30,1,63
380,40,4,27,40,11.175,39,17,2,20
381,24,0,24,24,9.708333333333334,22,16,1,22
382,114,0,111,114,10.771929824561404,92,28,1,75
383,21,0,21,21,9.857142857142858,20,7,1,20
384,460,0,452,460,11.171739130434782,307,101,1,193
385,148,0,147,148,10.756756756756756,118,34,2,92
386,82,0,79,82,10.634146341463415,73,10,1,60
387,48,8,48,48,11.875,47,30,1,38
388,73,0,71,73,10.273972602739725,67,30,1,48
389,58,0,58,58,12.568965517241379,54,28,1,47
390,32,0,31,32,11.8125,32,12,1,25
391,62,0,61,62,11.03225806451613,59,17,1,46
392,47,0,47,47,10.72340425531915,42,24,2,40
393,2,0,2,2,13.5,2,2,1,2
394,110,0,110,110,11.218181818181819,85,38,1,82
395,100,0,98,100,10.98,92,22,1,67
396,48,0,47,48,10.5625,45,26,1,35
397,6,0,6,6,13.5,5,3,2,5
398,74,0,72,74,10.837837837837839,69,40,1,59
399,10,0,10,10,9.0,10,3,1,9
400,246,1,243,246,10.979674796747968,188,60,1,119
401,26,0,26,26,11.76923076923077,22,9,1,22
402,20,0,19,20,10.15,18,13,1,17
403,562,0,492,562,10.777580071174377,380,149,1,157
404,58,0,57,58,10.844827586206897,50,28,4,46
405,26,4,25,26,10.576923076923077,24,14,1,23
406,38,1,38,38,10.710526315789474,38,28,1,32
407,187,0,177,187,11.67379679144385,169,51,1,92
408,65,0,64,65,10.553846153846154,58,37,1,50
409,7,0,7,7,8.571428571428571,7,1,1,7
410,67,0,64,67,10.417910447761194,57,21,1,45
411,105,0,104,105,10.847619047619048,84,22,1,71
412,6,0,6,6,10.333333333333334,6,3,1,6
413,184,0,183,184,11.0,150,59,3,75
414,375,1,342,375,10.845333333333333,289,33,1,121
415,9,0,9,9,15.333333333333334,9,5,1,8
416,55,0,55,55,10.454545454545455,48,17,1,45
417,70,0,70,70,9.657142857142857,66,12,1,53
418,86,0,86,86,11.244186046511627,65,26,2,59
419,221,11,204,221,10.592760180995475,183,77,1,106
420,20,0,20,20,12.7,18,8,1,17
421,18,0,18,18,13.833333333333334,18,17,1,18
422,35,0,35,35,12.914285714285715,34,15,1,27
423,33,0,33,33,12.181818181818182,32,18,1,27
424,41,0,41,41,11.195121951219512,39,13,1,35
425,24,0,24,24,10.791666666666666,19,14,1,23
426,49,0,48,49,10.673469387755102,47,15,2,42
427,11,0,11,11,10.454545454545455,11,5,1,10
428,4,0,4,4,14.25,4,2,1,3
429,32,0,32,32,10.0625,29,23,1,26
430,23,0,23,23,12.08695652173913,21,10,1,21
431,36,0,36,36,10.666666666666666,29,8,1,28
432,134,0,117,134,10.843283582089553,106,46,1,65
433,24,0,23,24,16.125,23,8,1,18
434,35,1,35,35,10.885714285714286,32,22,1,31
435,256,0,250,256,10.85546875,164,79,1,129
436,12,0,11,12,10.5,12,6,1,11
437,58,0,58,58,12.413793103448276,45,30,2,48
438,114,0,110,114,10.271929824561404,103,25,1,78
439,61,0,59,61,11.245901639344263,55,34,1,48
440,76,0,72,76,11.736842105263158,65,12,1,52
441,19,0,19,19,15.473684210526315,18,10,1,17
442,191,0,161,191,10.602094240837696,169,11,1,95
443,31,0,31,31,10.129032258064516,31,17,5,30
444,27,0,27,27,11.962962962962964,25,6,1,24
445,29,0,28,29,10.586206896551724,29,14,1,20
446,174,2,173,174,11.60919540229885,134,75,1,110
447,35,0,35,35,9.942857142857143,32,0,1,34
448,7,0,7,7,12.571428571428571,7,4,1,7
449,79,0,74,79,10.784810126582279,70,19,1,61
450,7,0,7,7,8.142857142857142,7,2,1,6
451,29,0,29,29,12.137931034482758,25,12,1,28
452,211,0,210,211,10.800947867298579,147,115,1,110
453,66,0,62,66,11.757575757575758,60,27,1,45
454,179,0,160,179,10.581005586592179,154,61,2,107
455,524,0,473,524,12.784351145038167,337,225,1,175
456,107,0,89,107,10.906542056074766,93,26,1,53
457,13,0,13,13,10.23076923076923,13,7,1,13
458,76,1,75,76,10.539473684210526,63,33,1,55
459,17,0,16,17,12.529411764705882,16,5,1,14
460,88,0,81,88,10.875,73,19,3,42
461,20,1,18,20,11.6,20,9,1,17
462,73,0,72,73,11.013698630136986,64,30,1,53
463,61,0,60,61,11.39344262295082,52,27,1,48
464,14,0,14,14,14.785714285714286,13,10,1,12
465,135,0,131,135,10.607407407407408,106,24,1,73
466,187,1,176,187,10.6524064171123,156,47,1,89
467,150,0,144,150,10.466666666666667,107,56,1,87
468,58,2,57,58,12.051724137931034,51,22,1,33
469,169,1,165,169,11.011834319526628,147,60,1,96
470,14,0,14,14,9.285714285714286,14,4,1,12
471,165,0,158,165,11.703030303030303,133,47,1,97
472,139,0,136,139,11.115107913669064,102,18,1,95
473,66,0,62,66,11.909090909090908,62,38,1,43
474,31,0,30,31,9.548387096774194,26,16,1,23
475,20,0,20,20,12.7,19,11,1,17
476,28,0,28,28,9.142857142857142,27,12,2,25
477,36,0,32,36,9.944444444444445,30,16,1,14
478,63,0,63,63,11.603174603174603,58,37,5,54
479,14,0,14,14,11.214285714285714,14,7,1,14
480,3,0,3,3,12.333333333333334,3,2,1,3
481,20,0,20,20,12.05,20,16,1,16
482,6,0,6,6,8.333333333333334,6,5,1,6
483,3,0,2,3,14.333333333333334,3,2,1,2
484,25,0,24,25,9.96,21,13,1,23
485,73,2,70,73,10.123287671232877,68,48,1,59
486,33,0,33,33,11.909090909090908,33,5,1,24
487,180,0,176,180,11.072222222222223,145,45,1,102
488,271,0,263,271,10.992619926199263,219,78,2,143
489,160,0,159,160,10.41875,136,67,1,104
490,46,1,45,46,11.152173913043478,42,10,1,37
491,16,0,16,16,9.875,16,9,1,16
492,152,0,148,152,10.631578947368421,119,78,1,101
493,63,0,60,63,10.444444444444445,62,25,1,52
494,9,0,9,9,9.666666666666666,9,1,1,8
495,388,0,375,388,10.675257731958762,296,124,1,173
496,111,0,108,111,11.045045045045045,94,38,1,74
497,73,0,70,73,11.849315068493151,65,47,1,43
498,54,0,54,54,11.12962962962963,48,16,1,43
499,45,0,42,45,11.533333333333333,38,16,1,27
500,13,0,13,13,14.307692307692308,11,3,1,11
501,31,0,31,31,11.32258064516129,30,18,1,26
502,239,1,222,239,10.907949790794978,197,44,1,93
503,73,0,70,73,10.876712328767123,67,36,1,54
504,19,0,19,19,13.842105263157896,19,16,1,18
505,52,0,51,52,11.115384615384615,43,29,2,43
506,3,0,3,3,17.666666666666668,3,2,1,3
507,57,4,57,57,9.929824561403509,46,30,1,46
508,55,0,55,55,12.218181818181819,51,25,1,36
509,64,1,63,64,12.484375,59,35,2,51
510,62,0,62,62,11.35483870967742,55,23,1,52
511,62,0,62,62,10.338709677419354,58,36,1,49
512,5,0,5,5,9.2,5,2,1,5
513,12,0,12,12,9.5,9,4,1,12
514,58,0,56,58,10.931034482758621,46,13,1,42
515,124,0,119,124,11.451612903225806,103,44,1,56
516,80,0,75,80,10.7,65,36,1,51
517,328,0,309,328,10.557926829268293,239,104,1,113
518,176,0,169,176,10.392045454545455,123,57,1,114
519,180,2,172,180,10.816666666666666,154,39,1,94
520,4,0,4,4,9.25,4,3,1,4
521,44,0,44,44,10.477272727272727,38,15,1,29
522,19,0,19,19,13.105263157894736,19,6,1,17
523,307,0,274,307,11.371335504885993,214,139,1,143
524,69,1,69,69,10.652173913043478,64,27,1,50
525,422,0,401,422,12.063981042654028,293,70,1,178
526,3,1,3,3,10.0,3,2,1,3
527,116,2,113,116,12.422413793103448,104,48,1,57
528,46,0,45,46,11.847826086956522,42,19,1,44
529,166,0,164,166,11.042168674698795,125,67,1,94
530,89,3,87,89,9.179775280898877,81,37,1,62
531,8,0,8,8,16.125,8,1,1,7
532,263,0,259,263,11.29657794676806,211,58,1,131
533,324,0,306,324,11.015432098765432,236,114,2,142
534,16,0,16,16,12.4375,16,7,1,15
535,83,5,83,83,11.927710843373495,71,29,2,50
536,110,0,104,110,10.854545454545455,97,50,2,76
537,32,0,32,32,14.0,31,11,1,26
538,436,0,421,436,10.986238532110091,322,25,1,164
539,24,0,24,24,11.25,24,15,1,18
540,30,0,30,30,10.533333333333333,29,7,2,28
541,9,0,9,9,9.88888888888889,9,8,1,9
542,1,0,1,1,6.0,1,0,1,1
543,27,0,27,27,11.592592592592593,26,10,1,22
544,197,0,195,197,10.431472081218274,181,42,1,116
545,9,0,9,9,10.11111111111111,9,4,1,9
546,165,0,157,165,10.503030303030304,133,47,1,87
547,49,0,49,49,10.83673469387755,47,9,1,37
548,374,0,363,374,10.858288770053475,274,155,1,156
549,17,0,17,17,8.294117647058824,16,15,1,15
550,175,1,175,175,11.194285714285714,137,16,1,101
